frameNUM,carID,carCenterX,carCenterY,carW,carL,course,headX,headY,tailX,tailY,lostCountert,boundingBox1X,boundingBox1Y,boundingBox2X,boundingBox2Y,boundingBox3X,boundingBox3Y,boundingBox4X,boundingBox4Y,Lat,Lng
11,3,3022,1315,44.32325363,109.6467209,96.00901031,3075,1320,2969,1309,1,3073,1341,2971,1330,2975,1290,3078,1301,28.17224572,113.0501695
11,4,684,1194,43.41088104,115.6672974,285.8430862,631,1179,737,1209,1,733,1232,621,1200,633,1159,745,1190,28.17205262,113.0502774
11,5,3673,686,45.35368347,109.6696472,105.7807541,3725,700,3620,671,1,3718,724,3613,694,3626,652,3730,681,28.17224752,113.0509556
11,6,134,153,39.45799255,99.83181763,131.4236641,166,182,101,123,1,155,204,80,138,106,109,181,175,28.17205983,113.0509678
11,7,1981,158,40.72935486,89.51972198,171.0273733,1988,202,1973,113,1,1967,202,1954,116,1994,109,2008,195,28.17220963,113.0499282
11,8,127,1542,43.53930664,73.97000122,116.5650482,161,1559,92,1525,1,149,1580,85,1548,106,1508,170,1540,28.17203638,113.0504689
11,9,2841,522,40.42309189,87.48017883,112.3286591,2885,540,2797,504,1,2871,556,2784,521,2799,485,2885,521,28.1720824,113.0502896
11,10,1647,444,65.13124847,73.96362305,123.6900635,1680,466,1613,422,9,1658,492,1596,451,1633,395,1695,436,28.17206164,113.0507377
11,13,1174,424,51.02036285,97.21325684,33.92979431,1205,378,1143,470,4,1168,478,1125,450,1179,369,1222,397,28.17223941,113.0504098
12,0,2666,1040,44,107,90,2721,1040,2611,1040,1,2719,1063,2612,1063,2612,1019,2719,1019,28.17209232,113.0508426
12,1,2481,1055,41.30501175,105.4832382,87.87890363,2533,1053,2428,1057,1,2429,1077,2428,1037,2533,1033,2534,1073,28.17201292,113.0505228
12,2,1750,1373,48.89396667,129.4947815,63.99665451,1812,1342,1688,1403,1,1692,1430,1671,1386,1802,1323,1823,1367,28.17208511,113.0499984
12,3,3029,1315,44.32325363,109.6467209,95.19442749,3083,1319,2975,1310,1,3082,1341,2974,1331,2977,1291,3085,1301,28.17203728,113.0498874
12,4,679,1192,43.41088104,115.6672974,286.8986511,626,1176,731,1208,1,727,1231,617,1198,629,1157,739,1190,28.17221323,113.0513436
12,5,3672,687,45.35368347,109.6696472,106.6992416,3725,703,3619,671,1,3717,724,3613,693,3625,650,3730,682,28.17206434,113.0515126
12,6,131,155,39.45799255,99.83181763,130.2363548,166,185,95,124,1,156,204,81,140,106,110,182,174,28.17223306,113.0522682
12,7,1981,159,40.72935486,89.51972198,171.6743507,1987,204,1974,113,1,1967,203,1954,115,1994,109,2007,197,28.17205893,113.0513649
12,8,131,1541,43.53930664,73.97000122,111.8014069,168,1556,94,1526,1,154,1579,86,1552,102,1510,170,1538,28.17199575,113.0518405
12,9,2831,520,40.42309189,87.48017883,113.1985931,2889,545,2773,494,1,2868,559,2763,513,2779,474,2885,519,28.17210584,113.0515533
